Date,Open,High,Low,Close,Adj Close,Volume
2021-07-05,58.799999,60.400002,58.000000,60.099998,58.025219,472113
2021-07-06,60.200001,60.299999,57.900002,59.000000,56.963192,260600
2021-07-07,59.200001,59.900002,57.200001,58.700001,56.673550,851267
2021-07-08,58.000000,58.400002,57.200001,57.799999,55.804619,266166
2021-07-12,57.799999,59.500000,57.000000,58.200001,56.190811,608591
2021-07-13,58.599998,59.200001,57.700001,58.400002,56.383907,148236
2021-07-14,59.400002,59.400002,57.500000,57.799999,55.804619,573669
2021-07-15,57.599998,58.299999,56.599998,57.200001,55.225334,419467
2021-07-16,57.500000,58.200001,56.400002,57.200001,55.225334,260703
2021-07-19,56.599998,56.900002,55.000000,55.500000,53.584023,638033
2021-07-20,56.900002,57.200001,55.299999,57.099998,55.128780,615098
2021-07-21,56.900002,59.299999,56.799999,59.200001,57.156288,703126
2021-07-22,59.200001,60.099998,58.700001,59.900002,57.832123,503949
2021-07-23,60.000000,60.500000,59.000000,59.900002,57.832123,278194
2021-07-26,60.500000,60.500000,59.000000,59.400002,57.349388,179477
2021-07-27,59.000000,59.500000,58.000000,59.099998,57.059738,301100
2021-07-28,59.000000,59.900002,58.200001,59.400002,57.349388,285079
2021-07-29,59.400002,60.700001,59.400002,60.400002,58.314861,481708
2021-07-30,60.400002,61.000000,59.500000,60.299999,58.218315,488934
2021-08-02,60.400002,61.700001,60.000000,61.500000,59.376888,759000
2021-08-03,61.599998,61.700001,60.000000,61.099998,58.990696,458038
2021-08-04,61.500000,61.700001,59.200001,59.799999,57.735577,326666
2021-08-05,60.099998,61.099998,59.000000,61.000000,58.894146,564312
2021-08-06,61.000000,61.500000,60.000000,61.000000,58.894146,780839
2021-08-09,61.200001,62.200001,61.000000,61.500000,59.376888,674082
2021-08-10,62.000000,62.700001,61.000000,62.299999,60.149273,1010261
2021-08-11,62.400002,64.400002,61.500000,64.300003,62.080227,1327561
2021-08-12,62.500000,64.500000,62.500000,63.900002,61.694038,1113971
2021-08-13,64.300003,64.300003,62.200001,63.299999,61.114750,810186
2021-08-17,64.000000,64.000000,61.200001,61.400002,59.280338,462236
2021-08-18,61.099998,61.900002,60.700001,61.299999,59.183792,506386
2021-08-19,61.200001,61.400002,60.000000,61.400002,59.280338,305183
2021-08-20,62.000000,62.000000,60.500000,61.299999,59.183792,522812
2021-08-23,61.299999,62.099998,61.000000,61.799999,59.666531,518273
2021-08-24,62.099998,63.200001,61.900002,62.500000,60.342365,554612
2021-08-25,62.900002,62.900002,61.599998,61.900002,59.763081,710140
2021-08-26,62.700001,62.700001,60.500000,61.000000,58.894146,603182
2021-08-27,61.500000,62.700001,61.099998,61.700001,59.569984,812490
2021-08-30,62.400002,64.599998,61.799999,64.300003,62.080227,849247
2021-08-31,64.500000,66.000000,63.000000,65.800003,63.528450,1417844
2021-09-01,65.900002,67.000000,64.199997,65.900002,63.624989,1637028
2021-09-02,66.000000,66.900002,65.500000,66.500000,64.204285,513939
2021-09-03,66.500000,66.900002,65.900002,66.300003,64.011185,1021530
2021-09-06,66.900002,67.800003,66.300003,67.300003,64.976662,896923
2021-09-07,67.800003,69.000000,67.400002,68.500000,66.135231,884028
